City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Santa Rosa,PH,14.3122,121.1114,85.08,77,100,4.68,overcast clouds
121,Norashen,AM,39.9996,44.5895,74.73,49,0,2.59,clear sky
122,Barrow,US,71.2906,-156.7887,39.22,93,100,8.05,overcast clouds
123,Birao,CF,10.2849,22.7882,69.78,98,97,4.54,overcast clouds
124,Mogadishu,SO,2.0371,45.3438,75.33,83,84,17.92,light rain
125,Tuktoyaktuk,CA,69.4541,-133.0374,75.2,46,75,8.05,broken clouds
126,Kaitangata,NZ,-46.2817,169.8464,55.58,71,91,5.55,light rain
127,Mount Isa,AU,-20.7333,139.5,76.77,29,41,13.8,scattered clouds
128,Pueblo Nuevo,MX,23.3833,-105.3833,56.66,95,99,6.33,overcast clouds
129,Ossora,RU,59.2353,163.0719,64.06,73,43,6.6,scattered clouds
130,Faya,SA,18.3851,42.4509,64.51,71,95,2.64,overcast clouds
131,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,68.59,68,20,13.42,few clouds
132,Partizan,RU,53.9502,38.098,69.66,71,13,6.53,few clouds
133,Belyy Yar,RU,53.6039,91.3903,67.89,50,0,4.47,clear sky
134,Hasaki,JP,35.7333,140.8333,81.28,70,100,6.89,overcast clouds
135,Koungheul,SN,13.9833,-14.8,74.34,94,100,6.11,overcast clouds
136,Vila Velha,BR,-20.3297,-40.2925,73.35,86,0,2.3,clear sky
137,Nishihara,JP,26.1842,127.7558,87.08,74,40,9.22,scattered clouds
138,Samarai,PG,-10.6167,150.6667,81.0,81,34,12.06,scattered clouds
139,Lasa,IT,46.6166,10.7002,59.36,84,55,3.94,broken clouds
140,La Ronge,CA,55.1001,-105.2842,53.82,82,40,2.3,scattered clouds
141,Torbay,CA,47.6666,-52.7314,66.58,92,100,17.27,overcast clouds
142,Olinda,BR,-8.0089,-34.8553,73.13,83,40,1.14,scattered clouds
143,Esperance,AU,-33.8667,121.9,57.72,54,52,11.59,broken clouds
144,Biskamzha,RU,53.4497,89.5272,68.34,46,1,0.65,clear sky
145,Vaini,TO,-21.2,-175.2,78.96,94,75,10.36,broken clouds
146,Atar,MR,20.5169,-13.0499,88.79,39,2,7.47,clear sky
147,Longyearbyen,SJ,78.2186,15.6401,49.84,76,75,9.22,broken clouds
148,Buala,SB,-8.145,159.5921,86.07,64,92,7.9,overcast clouds
149,Saint Anthony,US,45.0205,-93.218,80.92,68,0,12.66,clear sky
150,Chinhoyi,ZW,-17.3667,30.2,54.07,61,0,4.25,clear sky
151,Port Elizabeth,ZA,-33.918,25.5701,54.32,84,0,8.05,clear sky
152,Kieta,PG,-6.2167,155.6333,84.69,63,100,6.42,overcast clouds
153,Lae,PG,-6.7221,146.9847,92.07,61,100,7.61,overcast clouds
154,Rudbar,AF,30.15,62.6,88.34,17,1,14.58,clear sky
155,Uige,AO,-7.6087,15.0613,57.22,99,12,2.89,few clouds
156,Marietta,US,33.9526,-84.5499,74.88,95,73,2.08,broken clouds
157,Port Blair,IN,11.6667,92.75,80.64,89,75,17.27,moderate rain
158,Chitral,PK,35.8462,71.7858,80.6,40,0,3.22,clear sky
159,Cherskiy,RU,68.75,161.3,56.91,45,100,7.2,overcast clouds
160,Mafeteng,LS,-29.823,27.2374,42.3,56,52,2.86,broken clouds
161,Manbij,SY,36.5281,37.9549,79.63,55,0,15.61,clear sky
162,Sayyan,YE,15.1718,44.3244,60.62,71,92,3.56,overcast clouds
163,Kahului,US,20.8947,-156.47,89.62,65,0,17.27,clear sky
164,Tuatapere,NZ,-46.1333,167.6833,55.89,67,12,6.2,light rain
165,Katangli,RU,51.7102,143.2326,59.77,77,81,16.02,broken clouds
166,Nemuro,JP,43.3236,145.575,60.67,76,100,8.41,overcast clouds
167,Mahebourg,MU,-20.4081,57.7,69.26,88,40,3.44,scattered clouds
168,Zheshart,RU,62.0731,49.5733,71.69,61,37,3.96,scattered clouds
169,Amahai,ID,-3.3333,128.9167,77.59,88,96,4.18,overcast clouds
170,Rio Tercero,AR,-32.173,-64.1141,50.45,66,3,6.44,clear sky
171,Port Lincoln,AU,-34.7333,135.8667,56.95,63,50,15.14,moderate rain
172,Grootfontein,NA,-19.5667,18.1167,45.97,66,0,2.3,clear sky
173,Dalnerechensk,RU,45.9339,133.7225,82.65,66,83,12.53,broken clouds
174,Imbituba,BR,-28.24,-48.6703,57.09,89,98,5.99,overcast clouds
175,Santarem,BR,-2.4431,-54.7083,77.13,94,0,0.0,clear sky
176,Bat Khela,PK,34.6167,71.9714,83.16,63,40,2.28,scattered clouds
177,Gat,IL,31.61,34.7642,78.4,100,0,1.43,clear sky
178,Srednekolymsk,RU,67.45,153.6833,64.96,45,100,3.18,overcast clouds
179,Barcelos,PT,41.5388,-8.6151,68.92,89,28,1.59,scattered clouds
180,Rocky Mount,US,35.9382,-77.7905,80.76,74,0,4.61,clear sky
181,Brazzaville,CG,-4.2658,15.2832,70.57,68,18,5.73,few clouds
182,Dawei,MM,14.0833,98.2,77.16,95,100,5.99,overcast clouds
183,Ostrovnoy,RU,68.0531,39.5131,64.36,82,100,16.22,overcast clouds
184,Sabaudia,IT,41.3003,13.0282,80.2,96,41,7.47,scattered clouds
185,Sawakin,SD,19.1059,37.3321,88.09,61,79,10.78,broken clouds
186,Wiesloch,DE,49.2978,8.7014,61.56,73,100,5.14,overcast clouds
187,Tommot,RU,58.9564,126.2925,52.81,98,100,4.34,moderate rain
188,Kununurra,AU,-15.7667,128.7333,87.78,19,100,10.36,overcast clouds
189,Slave Lake,CA,55.2834,-114.769,53.76,75,79,5.12,broken clouds
190,Gajendragarh,IN,15.7333,75.9833,72.77,90,100,12.62,overcast clouds
