City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
233,San Patricio,US,83.89,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
234,Saint Marys,US,84.22,clear sky,30.7305,-81.5465,Spencer House Inn by Brham
236,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
237,Ugoofaaru,MV,80.94,overcast clouds,5.6667,73.0,Ungoofaaru Inn
243,Ratnagiri,IN,78.26,light rain,16.9833,73.3,Hotel Landmark
247,Kavaratti,IN,80.69,overcast clouds,10.5669,72.642,Green leaf
256,Bac Lieu,VN,80.82,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
257,Progreso,MX,78.12,few clouds,21.2833,-89.6667,Playa Linda Hotel
259,Sur,OM,89.94,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
263,Saint-Georges,GD,79.65,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
264,Padang,ID,86.05,few clouds,-0.9492,100.3543,Mercure Padang
270,Tura,IN,75.88,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
272,Ternate,ID,82.69,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
276,Caraballeda,VE,77.45,few clouds,10.6112,-66.8522,Ole Caribe
277,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
279,Isangel,VU,79.7,few clouds,-19.55,169.2667,Tanna Lodge
281,Pachperwa,IN,87.3,overcast clouds,27.5167,82.65,Manglam mairrage haal
286,Jiuquan,CN,83.66,overcast clouds,39.7432,98.5174,Jiuquan Hotel
289,Ursulo Galvan,MX,82.33,scattered clouds,22.7333,-98.3,HOTEL LAS FUENTES DEL BERNAL
291,Kupang,ID,82.47,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
293,Shiliguri,IN,85.69,overcast clouds,26.7,88.4333,Classic Hotel and Lodge
303,Anton Lizardo,MX,81.21,clear sky,19.05,-95.9833,Hotel CocoAventura
306,Virginia Beach,US,80.64,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
309,Carutapera,BR,75.4,clear sky,-1.195,-46.02,Lidera
312,Samarinda,ID,81.72,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
315,Matamoros,MX,79.81,broken clouds,25.5333,-103.25,Quinta Belem
318,Arlit,NE,88.02,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
322,Namatanai,PG,85.33,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
326,Colonelganj,IN,88.03,moderate rain,27.1333,81.7,Bangil Setor
327,Watertown,US,77.58,clear sky,42.3709,-71.1828,16 Washburn Street Watertown MA
330,Sumter,US,82.15,few clouds,28.7086,-82.0831,Paradise Oaks RV Resort
332,Bourail,NC,76.96,broken clouds,-21.5667,165.4833,Motel Allamanda
334,Shenjiamen,CN,86.92,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
335,Meulaboh,ID,83.52,overcast clouds,4.1363,96.1285,Kost Pria
348,Fatehabad,IN,89.06,few clouds,29.5167,75.45,Duke Hotel & Restaurant
350,Ayorou,NE,83.1,broken clouds,14.7308,0.9174,Hotel Amenokal
351,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
359,San Policarpo,PH,83.08,overcast clouds,12.1791,125.5072,Agapita M. Nicart
361,Yangjiang,CN,83.19,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
363,Bundi,IN,86.23,broken clouds,25.4417,75.6417,Hotel Bundi Inn-A Heritage Haveli
367,Portland,US,75.15,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
374,Lenger,KZ,76.44,clear sky,42.183,69.8839,Gostevoy Dom 1
375,Vung Tau,VN,81.72,overcast clouds,10.346,107.0843,Seaside Resort
377,Russell,US,81.63,overcast clouds,32.3502,-85.1999,Macs
378,Panzhihua,CN,82.76,overcast clouds,26.5851,101.7128,Electric Power Hotel
380,Palmer,US,77.18,clear sky,42.1584,-72.3287,Wedgewood Motel
381,Skeldon,GY,75.94,few clouds,5.8833,-57.1333,Classic International Hotel & Suites
386,Bafq,IR,87.67,clear sky,31.6128,55.4107,Alamdar Hotel
387,Jalu,LY,78.15,clear sky,29.0331,21.5482,صاحبة الفخامة
388,Luis Correia,BR,75.61,clear sky,-2.8792,-41.6669,Hotel Amarração
390,Bandarbeyla,SO,78.94,broken clouds,9.4942,50.8122,JABIR HOTEL
391,Negombo,LK,80.65,broken clouds,7.2083,79.8358,Hotel Sunset Beach
392,Colon,PA,81.45,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
394,Marsh Harbour,BS,83.79,clear sky,26.5412,-77.0636,Abaco Beach Resort
397,Cabo San Lucas,MX,87.62,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
401,Kingsville,US,81.91,clear sky,27.5159,-97.8561,Econo Lodge Kingsville
402,Dhar,IN,79.43,broken clouds,22.6,75.3,SPOT ON 49205 Hotel Shrinath Residency
405,Zhangye,CN,84.99,broken clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
414,Ajdabiya,LY,75.4,clear sky,30.7554,20.2263,Almadina Hotel
417,Cumberland,US,82.8,clear sky,35.0502,-78.8664,American Eagle Inn
423,Careiro Da Varzea,BR,81.21,broken clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
425,Maningrida,AU,88.32,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
427,Zaysan,KZ,78.49,clear sky,47.4667,84.8667,Ерлан үй
428,Hamilton,US,76.05,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
429,Banda Aceh,ID,85.53,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
434,North Platte,US,87.08,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
435,Kalmunai,LK,85.77,overcast clouds,7.4167,81.8167,VS Villa
438,Weligama,LK,80.78,overcast clouds,5.9667,80.4167,Weligama Bay Resort
440,Pyapon,MM,77.59,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
442,Pundaguitan,PH,82.54,broken clouds,6.3711,126.1689,Leonardo Family Beach House 1
443,Puerto Escondido,MX,77.83,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
446,Luganville,VU,81.86,broken clouds,-15.5333,167.1667,The Espiritu Hotel
449,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
451,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
453,Mecca,SA,86.23,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
455,Tateyama,JP,78.17,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
464,Martapura,ID,86.09,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
467,Nichinan,JP,89.71,clear sky,31.6,131.3667,Guest House Aki
469,Santo Domingo,DO,76.93,scattered clouds,18.5001,-69.9886,Cabañas City Heart
470,Periyanayakkanpalaiyam,IN,80.19,haze,11.15,76.9333,BIRIYNAI CORNER
472,Naze,JP,82.83,light rain,28.3667,129.4833,Shishime Hotel
473,Lazaro Cardenas,MX,79.81,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
476,Cukai,MY,77.29,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
477,Gushikawa,JP,87.39,few clouds,26.3544,127.8686,Kirari Guest House
479,Ermioni,GR,79.93,clear sky,37.3869,23.2442,Zoe Pension
481,Bull Savanna,JM,76.66,broken clouds,17.8868,-77.5902,Big Red's
482,Dhidhdhoo,MV,80.53,overcast clouds,6.8833,73.1,Dhidhoo beach
484,Pineville,US,80.49,clear sky,31.3224,-92.4343,"Country Inn & Suites by Radisson, Pineville, LA"
485,Fernandina Beach,US,82.38,clear sky,30.6697,-81.4626,Hampton Inn Amelia Island at Fernandina Beach
486,Itoman,JP,88.18,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
489,Kuchinarai,TH,81.79,overcast clouds,16.541,104.05,โรงแรมแสงชัย
501,Bubaque,GW,79.29,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
505,Keti Bandar,PK,82.24,light rain,24.1447,67.4497,Haji laloo memon house
506,Marquelia,MX,77.7,overcast clouds,16.5833,-98.8167,HOTEL CHÁVEZ MARQUELIA
509,Alappuzha,IN,82.0,overcast clouds,9.49,76.3264,Panoramic Sea Resort
518,Neiafu,TO,77.68,light intensity shower rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
