City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Shimoda,JP,2022-08-05 03:07:39,34.6667,138.95,79.57,79,100,11.01
138,Usinsk,RU,2022-08-05 03:07:39,65.9939,57.5281,63.79,55,89,12.95
139,Colomi,BO,2022-08-05 03:07:40,-17.35,-65.8667,48.22,88,55,5.5
140,Linhares,BR,2022-08-05 03:08:02,-19.3911,-40.0722,64.49,89,67,3.94
141,Veraval,IN,2022-08-05 03:08:40,20.9,70.3667,80.85,84,100,6.31
142,Ratekau,DE,2022-08-05 03:08:41,53.95,10.7333,65.01,94,75,4.61
143,Uthal,PK,2022-08-05 03:08:41,25.8072,66.6219,82.9,84,50,3.62
144,Makakilo City,US,2022-08-05 03:06:35,21.3469,-158.0858,82.72,67,100,10.36
145,Ilulissat,GL,2022-08-05 03:08:40,69.2167,-51.1,46.42,81,100,9.22
146,Plouzane,FR,2022-08-05 03:08:42,48.3833,-4.6167,57.25,82,20,12.66
147,Emerald,AU,2022-08-05 03:08:42,-23.5333,148.1667,81.34,51,0,11.95
148,Kruisfontein,ZA,2022-08-05 03:08:42,-34.0033,24.7314,49.53,86,74,3.09
149,Dinan,FR,2022-08-05 03:08:43,48.4167,-2.25,60.46,80,0,10.36
150,Half Moon Bay,US,2022-08-05 03:08:43,37.4636,-122.4286,73.54,79,100,14.97
151,Paamiut,GL,2022-08-05 03:08:43,61.994,-49.6678,46.11,85,100,17.11
152,Buala,SB,2022-08-05 03:08:44,-8.145,159.5921,86.05,59,13,7.31
153,Tsiroanomandidy,MG,2022-08-05 03:08:44,-18.7667,46.0333,54.45,73,1,1.81
154,Nuoro,IT,2022-08-05 03:08:45,40.3211,9.3297,69.76,59,0,2.17
155,Damietta,EG,2022-08-05 03:08:45,31.4165,31.8133,77.85,77,0,7.81
156,Sao Filipe,CV,2022-08-05 03:08:45,14.8961,-24.4956,76.12,83,71,5.41
157,Ust-Maya,RU,2022-08-05 03:08:46,60.4167,134.5333,78.44,46,55,11.34
158,Cherskiy,RU,2022-08-05 03:08:46,68.75,161.3,50.76,58,100,13.69
159,Souillac,MU,2022-08-05 03:08:46,-20.5167,57.5167,70.18,68,40,11.5
160,Djibo,BF,2022-08-05 03:08:47,14.1022,-1.6306,74.34,79,100,11.1
161,Goure,NE,2022-08-05 03:08:47,13.9835,10.2704,78.03,63,66,9.04
162,Constitucion,CL,2022-08-05 03:08:47,-35.3333,-72.4167,49.84,84,100,5.35
163,Madang,PG,2022-08-05 03:08:48,-5.2246,145.7966,85.51,66,100,7.67
164,Salym,RU,2022-08-05 03:08:48,60.0625,71.4789,69.85,51,11,4.83
165,Tuatapere,NZ,2022-08-05 03:08:49,-46.1333,167.6833,54.99,73,100,15.26
166,Araouane,ML,2022-08-05 03:08:49,18.9048,-3.5265,93.25,34,10,11.68
167,Havre-Saint-Pierre,CA,2022-08-05 03:08:49,50.2334,-63.5986,59.25,99,100,5.1
168,Oktyabrskoye,RU,2022-08-05 03:08:49,43.0645,44.7417,60.94,94,0,6.71
169,Tessalit,ML,2022-08-05 03:08:50,20.1986,1.0114,90.16,29,1,13.71
170,Sept-Iles,CA,2022-08-05 03:04:02,50.2001,-66.3821,61.32,97,100,3.44
171,Pishin,PK,2022-08-05 03:08:50,30.5803,66.9961,79.92,47,0,2.64
172,San Patricio,US,2022-08-05 03:08:51,28.017,-97.5169,85.89,73,4,14.5
173,Gimli,CA,2022-08-05 03:08:51,50.6336,-96.9907,68.16,75,15,12.3
174,Ferrol,ES,2022-08-05 03:08:51,43.4832,-8.2369,64.67,79,100,17.76
175,Dunedin,NZ,2022-08-05 03:08:51,-45.8742,170.5036,61.81,36,100,11.01
176,Turukhansk,RU,2022-08-05 03:08:52,65.8167,87.9833,66.36,48,60,3.13
177,Port Blair,IN,2022-08-05 03:08:52,11.6667,92.75,83.05,78,100,21.05
178,Camacha,PT,2022-08-05 03:08:53,33.0833,-16.3333,67.42,83,75,9.22
179,Bosaso,SO,2022-08-05 03:08:53,11.2842,49.1816,87.39,44,38,20.49
180,Baker City,US,2022-08-05 03:04:08,44.7749,-117.8344,78.19,34,0,12.66
181,Chemal,RU,2022-08-05 03:08:53,51.4111,86.005,64.63,57,66,3.38
182,Tecoanapa,MX,2022-08-05 03:08:54,16.5167,-98.75,79.7,81,37,1.74
183,High Level,CA,2022-08-05 03:08:54,58.5169,-117.136,61.74,57,100,6.35
184,Nome,US,2022-08-05 03:08:55,64.5011,-165.4064,53.67,82,100,10.36
185,Ambon,ID,2022-08-05 03:08:55,-3.6954,128.1814,77.14,94,75,3.44
186,Kandrian,PG,2022-08-05 03:08:55,-6.2167,149.55,84.2,71,100,9.53
187,Santa Maria,BR,2022-08-05 03:09:56,-29.6842,-53.8069,54.05,93,100,7.54
188,Dikson,RU,2022-08-05 03:09:56,73.5069,80.5464,41.72,100,100,10.29
189,Paracuru,BR,2022-08-05 03:09:57,-3.41,-39.0306,76.1,86,5,9.64
190,Faya,SA,2022-08-05 03:09:57,18.3851,42.4509,59.52,74,94,2.24
191,Gasa,PS,2022-08-05 03:09:58,31.5,34.4667,76.87,80,16,4.9
192,Buzmeyin,TM,2022-08-05 03:09:58,38.0507,58.2056,90.1,18,2,2.57
193,Nikolskoye,RU,2022-08-05 03:09:58,59.7035,30.7861,64.8,70,15,4.32
194,Shache,CN,2022-08-05 03:09:59,38.4167,77.2406,77.92,47,100,3.2
195,Paita,PE,2022-08-05 03:09:59,-5.0892,-81.1144,62.94,85,14,11.36
196,Noumea,NC,2022-08-05 03:09:59,-22.2763,166.4572,81.0,99,54,13.65
197,Hamilton,US,2022-08-05 03:10:00,39.1834,-84.5333,74.25,93,75,5.75
198,Ouadda,CF,2022-08-05 03:10:00,8.0777,22.4007,65.55,99,96,1.41
199,Isangel,VU,2022-08-05 03:10:01,-19.55,169.2667,80.13,72,9,5.86
200,Bengkulu,ID,2022-08-05 03:10:01,-3.8004,102.2655,81.37,69,99,1.59
201,Camana,PE,2022-08-05 03:10:01,-16.6228,-72.7111,59.99,85,67,6.62
202,Avarua,CK,2022-08-05 03:10:02,-21.2078,-159.775,77.05,73,20,21.85
203,Atambua,ID,2022-08-05 03:10:03,-9.1061,124.8925,81.86,57,47,3.06
204,Fairbanks,US,2022-08-05 03:08:22,64.8378,-147.7164,66.22,75,100,16.11
205,Santa Clara,CU,2022-08-05 03:10:03,22.4,-79.9667,76.66,94,20,5.75
206,Safford,US,2022-08-05 03:10:04,32.834,-109.7076,83.32,65,0,3.44
207,Takoradi,GH,2022-08-05 03:10:04,4.8845,-1.7554,71.69,84,98,6.49
208,Manica,FR,2022-08-05 03:10:04,49.0,-1.1667,49.62,93,0,3.78
209,Buraydah,SA,2022-08-05 03:10:05,26.326,43.975,95.52,22,77,5.21
210,Cabo San Lucas,MX,2022-08-05 03:08:44,22.8909,-109.9124,87.1,72,48,1.99
211,Ustyuzhna,RU,2022-08-05 03:10:05,58.8394,36.4321,63.64,77,6,2.75
212,Teguldet,RU,2022-08-05 03:10:06,57.3064,88.1667,61.43,50,54,7.05
213,Husavik,IS,2022-08-05 03:10:07,66.0449,-17.3389,42.8,83,30,8.7
214,Sitka,US,2022-08-05 03:10:07,57.0531,-135.33,60.69,77,100,3.44
215,Kyren,RU,2022-08-05 03:10:07,51.6828,102.1408,60.33,89,100,1.95
216,Touros,BR,2022-08-05 03:09:57,-5.1989,-35.4608,73.24,91,7,10.31
217,Georgetown,MY,2022-08-05 03:07:37,5.4112,100.3354,85.95,77,20,6.91
218,Ciudad Bolivar,VE,2022-08-05 03:10:08,8.1222,-63.5497,74.43,91,100,7.96
219,Khorixas,NA,2022-08-05 03:10:08,-20.3667,14.9667,58.75,22,1,5.08
220,Sampit,ID,2022-08-05 03:10:09,-2.5333,112.95,81.54,79,100,4.03
221,Marquette,US,2022-08-05 03:10:09,46.5333,-87.6335,58.44,86,0,2.77
222,Alofi,NU,2022-08-05 03:10:09,-19.0595,-169.9187,78.69,73,75,13.8
223,Mount Darwin,ZW,2022-08-05 03:10:10,-16.7725,31.5838,53.53,72,0,2.62
224,Shaunavon,CA,2022-08-05 03:10:10,49.6501,-108.4181,75.31,21,42,13.69
225,Mount Isa,AU,2022-08-05 03:10:11,-20.7333,139.5,87.57,33,75,18.41
226,Linhai,CN,2022-08-05 03:10:11,28.85,121.1167,96.93,42,20,2.77
227,Seelze,DE,2022-08-05 03:10:11,52.4,9.6,67.01,93,20,8.05
228,Mahibadhoo,MV,2022-08-05 03:10:12,3.7833,72.9667,81.97,74,100,19.6
229,Chernyshevskiy,RU,2022-08-05 03:10:12,63.0128,112.4714,50.27,86,100,6.15
230,Wasilla,US,2022-08-05 03:08:21,61.5814,-149.4394,65.35,88,100,5.75
231,Port Hardy,CA,2022-08-05 03:10:13,50.6996,-127.4199,58.46,79,9,12.55
232,Cockburn Town,TC,2022-08-05 03:10:13,21.4612,-71.1419,82.02,81,56,22.17
233,Along,IN,2022-08-05 03:11:14,28.1667,94.7667,81.01,89,98,0.63
234,Bowen,AU,2022-08-05 03:11:14,-20.0167,148.2333,71.28,79,26,6.33
235,Ust-Koksa,RU,2022-08-05 03:11:14,50.2696,85.6108,64.33,67,100,1.99
236,Yashkul,RU,2022-08-05 03:11:15,46.1711,45.3435,81.88,33,84,6.55
237,Bonito,BR,2022-08-05 03:11:15,-21.1211,-56.4819,68.22,80,28,9.1
238,Sioux Lookout,CA,2022-08-05 03:11:16,50.1001,-91.917,61.16,66,31,5.79
239,Tautira,PF,2022-08-05 03:11:16,-17.7333,-149.15,76.73,79,97,26.17
240,Bolhrad,UA,2022-08-05 03:11:16,45.6826,28.6149,69.71,66,66,8.84
241,Gusau,NG,2022-08-05 03:11:17,12.1628,6.6614,71.13,91,97,7.9
242,Coquimbo,CL,2022-08-05 03:10:10,-29.9533,-71.3436,51.53,87,0,4.61
243,Enshi,CN,2022-08-05 03:11:17,30.3,109.4833,89.65,63,54,0.76
